variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17513593,267.23622131347656,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17542306,267.67434692382812,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17525961,267.42494201660156,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17517018,267.28848266601562,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17498219,267.00163269042969,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17519862,267.33187866210938,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17509226,267.16958618164062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17496837,266.98054504394531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17551460,267.81402587890625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17501184,267.046875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17532421,267.52351379394531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17494784,266.94921875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17507963,267.15031433105469,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17510688,267.19189453125,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,1048576,19326119,18.43082332611084,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,1,1048576,19412931,18.513613700866699,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,2,1048576,19440713,18.540108680725098,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,3,1048576,19377146,18.479486465454102,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,4,1048576,19212748,18.322704315185547,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,5,1048576,18789055,17.918639183044434,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,6,1048576,18807163,17.935908317565918,0.92307770252227783
manual_avx2,x86_64,Release,measurement,256,0,1048576,19794940,18.877925872802734,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,1048576,20464104,19.516090393066406,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,1048576,20208476,19.272304534912109,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,1048576,20202377,19.266488075256348,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,1048576,19932408,19.009025573730469,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,1048576,19922533,18.999608039855957,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,1048576,19814529,18.896607398986816,0.92307698726654053
