variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17584069,268.31159973144531,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17616889,268.81239318847656,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17582837,268.29280090332031,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17593123,268.44975280761719,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17570118,268.09872436523438,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17567034,268.05166625976562,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17586774,268.35287475585938,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17594525,268.47114562988281,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17566302,268.04049682617188,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17587074,268.35745239257812,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17588906,268.38540649414062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17595146,268.48062133789062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17564529,268.01344299316406,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17584149,268.31282043457031,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10653075,20.319128036499023,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10611322,20.239490509033203,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10581897,20.183366775512695,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10592674,20.203922271728516,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10620776,20.257522583007812,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10384818,19.807468414306641,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10211165,19.476251602172852,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,0,1048576,19931056,19.007736206054688,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,1048576,19772545,18.856568336486816,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,1048576,19910805,18.988423347473145,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,1048576,19976235,19.050822257995605,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,1048576,20056977,19.127823829650879,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,1048576,20018749,19.091366767883301,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,1048576,19918237,18.995511054992676,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10121088,1235.484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10109981,1234.1285400390625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10104334,1233.439208984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10127078,1236.215576171875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10113908,1234.60791015625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10109351,1234.0516357421875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10107568,1233.833984375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,8192,10128840,1236.4306640625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,8192,10103492,1233.33642578125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,8192,10099746,1232.879150390625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,8192,10113668,1234.57861328125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,8192,10106617,1233.7178955078125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,8192,10103372,1233.32177734375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,8192,10124845,1235.9429931640625,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,262144,19984598,76.235191345214844,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,1,262144,19868831,75.793575286865234,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,2,262144,19863364,75.772720336914062,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,3,262144,19812376,75.578216552734375,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,4,262144,19795621,75.514301300048828,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,5,262144,19759386,75.376075744628906,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,6,262144,19837074,75.672431945800781,1.0209790468215942
manual_avx2,x86_64,Release,measurement,1024,0,262144,18874444,72.000289916992188,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,262144,19048869,72.665668487548828,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,262144,19057973,72.700397491455078,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,262144,18944721,72.268375396728516,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,262144,18910189,72.136646270751953,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,262144,18897019,72.086406707763672,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,262144,18892673,72.069828033447266,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,2048,10457428,5106.166015625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,2048,10540855,5146.90185546875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,2048,10497690,5125.8251953125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,2048,10475336,5114.91015625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,2048,10474675,5114.58740234375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,2048,10462736,5108.7578125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,2048,10458661,5106.76806640625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,2048,10473273,5113.90283203125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,2048,10460333,5107.58447265625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,2048,10456988,5105.951171875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,2048,10481866,5118.0986328125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,2048,10459772,5107.310546875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,2048,10464479,5109.60888671875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,2048,10458850,5106.8603515625,-1.7132706642150879
compiler_reassociated,x86_64,Release,measurement,4096,0,32768,10056391,306.89669799804688,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,1,32768,10042300,306.4666748046875,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,2,32768,10065285,307.16812133789062,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,3,32768,10070442,307.32550048828125,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,4,32768,10089411,307.90438842773438,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,5,32768,10061579,307.05502319335938,-1.7132883071899414
compiler_reassociated,x86_64,Release,measurement,4096,6,32768,10049621,306.69009399414062,-1.7132883071899414
manual_avx2,x86_64,Release,measurement,4096,0,65536,19385359,295.79710388183594,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,1,65536,19375814,295.65145874023438,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,2,65536,19442456,296.6683349609375,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,3,65536,19414904,296.2479248046875,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,4,65536,19372119,295.59507751464844,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,5,65536,19391368,295.8887939453125,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,6,65536,19407142,296.12948608398438,-1.7132848501205444
scalar,x86_64,Release,measurement,16384,0,512,10559593,20624.205078125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,1,512,10530910,20568.18359375,0.89516866207122803
scalar,x86_64,Release,measurement,16384,2,512,10528537,20563.548828125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,3,512,10526834,20560.22265625,0.89516866207122803
scalar,x86_64,Release,measurement,16384,4,512,10531100,20568.5546875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,5,512,10525732,20558.0703125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,6,512,10546965,20599.541015625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,0,512,10535937,20578.001953125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,1,512,10518882,20544.69140625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,2,512,10520013,20546.900390625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,3,512,10517650,20542.28515625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,4,512,10533344,20572.9375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,5,512,10523699,20554.099609375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,6,512,10522027,20550.833984375,0.89516866207122803
compiler_reassociated,x86_64,Release,measurement,16384,0,8192,14203956,1733.88134765625,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,1,8192,14206210,1734.156494140625,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,2,8192,14216064,1735.359375,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,3,8192,14198038,1733.158935546875,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,4,8192,14230356,1737.10400390625,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,5,8192,14219369,1735.7628173828125,0.8951030969619751
compiler_reassociated,x86_64,Release,measurement,16384,6,8192,14201383,1733.5672607421875,0.8951030969619751
manual_avx2,x86_64,Release,measurement,16384,0,8192,14109433,1722.3428955078125,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,1,8192,14126059,1724.3724365234375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,2,8192,14121031,1723.7586669921875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,3,8192,14123184,1724.021484375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,4,8192,14144376,1726.6083984375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,5,8192,14182183,1731.2235107421875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,6,8192,14123674,1724.081298828125,0.89510297775268555
scalar,x86_64,Release,measurement,65536,0,128,10537510,82324.296875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,1,128,10583460,82683.28125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,2,128,10554095,82453.8671875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,3,128,10547164,82399.71875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,4,128,10541536,82355.75,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,5,128,10537369,82323.1953125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,6,128,10542216,82361.0625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,0,128,10533003,82289.0859375,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,1,128,10537530,82324.453125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,2,128,10547325,82400.9765625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,3,128,10539222,82337.671875,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,4,128,10593815,82764.1796875,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,5,128,10544822,82381.421875,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,6,128,10542908,82366.46875,-0.18156573176383972
compiler_reassociated,x86_64,Release,measurement,65536,0,2048,14604012,7130.865234375,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,1,2048,14576050,7117.2119140625,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,2,2048,14581719,7119.97998046875,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,3,2048,14571233,7114.85986328125,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,4,2048,14602861,7130.30322265625,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,5,2048,14605415,7131.55029296875,-0.18182206153869629
compiler_reassociated,x86_64,Release,measurement,65536,6,2048,14601038,7129.4130859375,-0.18182206153869629
manual_avx2,x86_64,Release,measurement,65536,0,2048,14158728,6913.44140625,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,1,2048,14138358,6903.4951171875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,2,2048,14145968,6907.2109375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,3,2048,14200150,6933.6669921875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,4,2048,14178327,6923.01123046875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,5,2048,14164787,6916.39990234375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,6,2048,14144517,6906.50244140625,-0.18182754516601562
scalar,x86_64,Release,measurement,1048576,0,8,10569218,1321152.25,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,1,8,10574657,1321832.125,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,2,8,10587125,1323390.625,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,3,8,10568256,1321032,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,4,8,10580205,1322525.625,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,5,8,10571732,1321466.5,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,6,8,10574316,1321789.5,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,0,8,10589128,1323641,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,1,8,10580084,1322510.5,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,2,8,10579384,1322423,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,3,8,10586725,1323340.625,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,4,8,10576559,1322069.875,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,5,8,10588867,1323608.375,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,6,8,10572713,1321589.125,-0.12181839346885681
compiler_reassociated,x86_64,Release,measurement,1048576,0,128,17090642,133520.640625,-0.12592184543609619
compiler_reassociated,x86_64,Release,measurement,1048576,1,128,17075568,133402.875,-0.12592184543609619
compiler_reassociated,x86_64,Release,measurement,1048576,2,128,17077301,133416.4140625,-0.12592184543609619
